
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199205   6.31   5.92   6.75   6.00   6.94   5.92   6.30   6.09   6.82   9.63
199206  -4.30  -4.45  -4.48  -3.40  -5.32  -4.18  -3.97  -5.03  -4.28  -5.80
199207  -2.44  -5.00  -1.17  -3.92  -0.55  -3.24  -3.36  -3.32  -0.99  -3.13
199208   5.98   2.96   8.30   4.14   8.44   3.28   6.08   4.19   8.47   7.48
199209  -2.58  -2.36  -2.59  -4.19  -2.31  -4.29  -2.66  -2.21  -3.30  -3.14
199210  -5.30  -4.75  -4.83  -4.41  -5.33  -5.67  -5.58  -5.07  -4.52  -9.71
199211   1.10   0.91   1.60   0.97   1.11   0.42   1.00   0.49   1.64   0.80
199212   0.50   1.10   0.17   0.83  -0.12   1.65  -0.71   0.93   0.10  -1.38
199301   0.14   2.53  -0.59   1.67  -0.41   1.56  -0.92   2.11  -1.04   4.15
199302   3.17   3.08   2.64   3.32   2.92   4.08   1.52   3.63   2.79   1.60
199303   9.58  12.79   7.18  10.37   7.18  14.13   7.53  11.45   5.74   9.80
199304   8.86  10.80   7.30   8.94   8.05   9.02   7.43  10.61   7.36  11.24
199305   2.51   2.14   3.61   1.59   4.11   0.89   1.89   1.84   4.18   4.97
199306  -3.03  -3.56  -2.40  -3.92  -2.27  -3.98  -4.24  -3.08  -2.09  -5.13
199307   4.53   5.54   4.14   5.33   4.32   5.86   3.59   5.02   4.44   1.49
199308   5.16   5.92   5.02   5.40   5.01   4.98   5.39   4.57   5.24   5.18
199309  -2.93  -2.57  -3.07  -1.65  -3.10  -2.99  -0.82  -2.99  -2.75  -6.83
199310   2.58   2.61   2.90   2.49   3.34   3.35   0.85   2.73   3.09  -2.30
199311  -8.21  -7.43  -9.13  -6.77  -9.51  -6.65  -7.41  -6.90  -9.07  -7.95
199312   6.71   8.78   5.42   7.63   6.37   8.16   5.49   6.19   6.69   9.94
199401  10.00  12.47   9.28   8.91  10.96  11.83  10.04   9.70  10.01  15.41
199402  -0.99   0.12  -1.55  -1.14  -1.18   0.25  -0.93  -1.20  -1.25  -0.66
199403  -3.45  -2.37  -3.94  -3.67  -4.01  -2.25  -2.01  -2.74  -4.16   0.52
199404   3.72   4.33   3.56   2.39   4.35   3.35   3.16   3.87   3.18   4.48
199405  -0.67   0.21  -1.51  -0.88  -1.03  -0.97  -1.37  -0.64  -0.96  -0.84
199406   1.59   2.18   1.11   2.34   1.00   2.25   2.04   2.23   1.04   3.67
199407   0.83   0.42   0.90   1.59   1.01   0.69   1.43   0.72   0.78   0.09
199408   2.25   2.33   2.31   1.87   2.02   3.71   2.64   2.10   1.93   1.82
199409  -2.98  -2.73  -2.94  -2.72  -3.14  -2.96  -2.06  -2.32  -2.69  -2.83
199410   3.51   3.82   3.10   2.77   3.55   4.10   2.51   3.63   3.21   3.38
199411  -5.29  -5.72  -5.04  -4.61  -5.60  -6.03  -4.46  -5.24  -5.39  -6.48
199412   1.10   0.69   1.79   1.04   1.51   1.22   0.33   0.44   1.73   0.43
199501  -4.05  -3.85  -3.83  -3.33  -4.08  -4.87  -4.26  -3.34  -3.77  -4.34
199502  -0.21  -0.34   0.11   0.76  -0.80   0.94  -0.61   0.32  -0.21  -1.82
199503   5.60   5.70   6.36   6.27   5.73   6.51   6.21   6.15   5.35   2.03
199504   4.16   2.94   4.78   3.60   5.16   3.45   3.81   3.32   5.24   2.55
199505  -1.14  -0.77  -1.40  -0.09  -1.18  -1.02  -1.47  -0.64  -0.46  -4.06
199506  -1.41  -1.02  -1.27  -0.16  -2.12   0.05  -0.10  -0.95  -2.17  -3.41
199507   5.70   5.38   5.77   4.60   7.04   4.92   5.51   3.34   7.74   7.08
199508  -3.00  -3.03  -2.98  -2.54  -3.46  -1.76  -1.74  -3.42  -3.69  -1.55
199509   1.05   0.37   1.24   1.97   0.86   1.11   0.42   1.48   1.42   0.05
199510  -1.65  -1.52  -1.44   0.19  -2.53  -2.79  -1.44  -0.39  -2.61  -4.91
199511   2.29   2.47   2.26   1.42   3.20   0.33   1.63   1.01   2.93   2.14
199512   3.76   4.38   3.51   3.31   4.17   3.18   2.66   3.27   3.43   3.09
199601   0.45   1.68   0.04   1.76  -0.53   1.83   0.87   1.08  -0.10  -0.04
199602   0.50   1.22   0.40   1.60  -0.13   1.89   1.48   1.07   0.20   1.44
199603   1.91   1.51   2.16   1.46   2.84   0.04   2.81   0.54   2.80   1.98
199604   2.92   3.45   2.43   2.53   2.12   3.98   3.39   3.44   2.40   4.71
199605  -0.97  -1.46  -0.69  -0.82  -1.02  -1.87  -0.59  -1.55  -1.29  -0.73
199606   0.45   0.16   0.56   0.63   0.11   0.30   0.09  -0.15   0.53  -1.63
199607  -2.93  -2.83  -3.18  -2.18  -3.77  -3.47  -3.04  -1.74  -3.64  -4.52
199608   0.08   0.35   0.18   0.07   0.67   0.48  -0.31  -0.53   0.78  -1.16
199609   3.01   2.62   2.85   3.52   2.82   2.60   3.20   2.23   2.50  -0.65
199610  -0.95  -1.35  -1.25  -1.00  -1.00  -1.53  -1.65  -0.58  -1.22  -1.25
199611   4.15   5.95   3.37   5.17   2.81   5.53   2.63   4.43   3.24   0.91
199612  -1.09  -0.51  -1.77   0.15  -2.64   1.39  -1.96  -0.01  -2.22  -3.22
199701  -3.38  -3.07  -3.87  -1.25  -4.47  -0.85  -3.05  -2.77  -4.19  -1.39
199702   1.45   1.76   1.30   2.59   1.18   1.06   0.88   1.43   1.93   0.30
199703   0.38  -0.46   0.24   0.16  -0.75   1.35   0.46   0.60  -0.13   0.06
199704   0.57  -1.20   1.33   1.25  -0.14   1.19   1.20  -0.81   1.12  -0.40
199705   7.23   8.00   7.26   6.16   7.89   6.59   7.14   6.78   7.14   8.55
199706   5.19   3.93   5.74   4.04   5.30   6.88   4.66   3.91   5.74   3.05
199707   1.96   2.46   2.43   3.86   1.19   1.26   2.00   1.43   2.81   0.44
199708  -7.04  -5.41  -7.11  -6.78  -6.90  -5.96  -7.88  -5.32  -7.78  -6.49
199709   5.64   4.41   6.31   6.02   4.60   3.38   6.66   4.46   6.25   1.10
199710  -7.06  -5.26  -8.35  -6.74  -7.94  -5.85  -6.72  -3.43  -8.58  -4.43
199711  -1.13  -4.01  -0.20  -1.26   0.06  -1.73   0.11  -1.73   0.27  -6.66
199712   0.50   0.33   0.72   0.00   0.56  -1.43   0.76   0.55   0.56  -4.41
199801   4.60  11.13   4.15   5.42   4.78   6.59   3.46   6.73   4.37  11.20
199802   6.46   9.84   5.87   8.79   6.80   6.49   5.15   7.59   5.85  12.23
199803   3.24   3.55   2.19   4.68   1.31   5.88   3.78   4.43   3.10   2.59
199804   0.73   0.96   1.24  -0.44   0.95   0.78   1.06   0.11   0.70   2.46
199805   0.18  -0.16   0.36  -1.10   0.25   0.79   0.66   0.19   0.17   0.77
199806   0.08  -2.15   0.63  -1.05   1.04  -0.03   1.25  -0.49   1.04   3.41
199807   0.60  -0.07   0.76  -0.82   0.56   1.17   0.09   0.95   1.23   2.85
199808 -12.39 -14.06 -11.17 -14.23 -10.76 -13.02  -9.98 -12.03 -11.74 -14.24
199809  -2.15  -2.98  -1.40  -3.29  -1.40  -0.99  -0.54  -3.64  -2.56  -7.20
199810  10.07   9.17  10.11  10.28  10.72   7.59   8.98  10.85  10.25  10.00
199811   5.02   4.84   4.78   5.63   4.01   3.95   4.04   3.79   5.57   7.34
199812   3.57   2.21   4.63   1.26   4.81   3.98   5.91   2.92   5.12   4.68
199901   0.03  -1.65   0.30  -0.89   0.66  -1.94   0.23  -2.60  -0.33   9.50
