date,us_equity,intl_equity,bonds,cash,inflation
2008-05,0.025634,0.025634,-0.014668,0.001800,0.008421
2008-06,-0.042458,-0.042458,0.010771,0.001700,0.010077
2008-07,-0.060782,-0.060782,0.013202,0.001500,0.005251
2008-08,0.021108,0.021108,0.019830,0.001300,-0.003992
2008-09,-0.048472,-0.048472,-0.006822,0.001500,-0.001383
2008-10,-0.201946,-0.201946,0.026574,0.000800,-0.010101
2008-11,-0.086067,-0.086067,0.100717,0.000300,-0.019153
2008-12,-0.003527,-0.003527,-0.006750,0.000000,-0.010342
2009-01,-0.010991,-0.010991,-0.028075,0.000000,0.004352
2009-02,-0.067061,-0.067061,0.006713,0.000100,0.004973
2009-03,-0.056913,-0.056913,-0.007107,0.000200,0.002432
2009-04,0.123156,0.123156,-0.027984,0.000100,0.002496
2009-05,0.066544,0.066544,-0.032873,0.000000,0.002889
2009-06,0.028637,0.028637,0.016452,0.000100,0.008590
2009-07,0.012726,0.012726,0.000467,0.000100,-0.001586
2009-08,0.081157,0.081157,0.018967,0.000100,0.002243
2009-09,0.036457,0.036457,0.003675,0.000100,0.000625
2009-10,0.023991,0.023991,0.001984,0.000000,0.000963
2009-11,0.020904,0.020904,-0.013000,0.000000,0.000708
2009-12,0.022221,0.022221,-0.008598,0.000100,-0.001761
2010-01,0.013557,0.013557,0.006426,0.000000,0.003417
2010-02,-0.028997,-0.028997,-0.000236,0.000000,0.000249
2010-03,0.059417,0.059417,-0.006770,0.000100,0.004106
2010-04,0.040883,0.040883,0.039328,0.000100,0.001737
2010-05,-0.058821,-0.058821,0.021523,0.000100,0.000775
2010-06,-0.035432,-0.035432,0.018939,0.000100,-0.000976
2010-07,-0.001583,-0.001583,0.029452,0.000100,0.000211
2010-08,0.008644,0.008644,0.006606,0.000100,0.001381
2010-09,0.033719,0.033719,0.011842,0.000100,0.000582
2010-10,0.045784,0.045784,-0.016950,0.000100,0.001245
2010-11,0.024918,0.024918,-0.042494,0.000100,0.000421
2010-12,0.037146,0.037146,-0.005670,0.000100,0.001718
2011-01,0.034638,0.034638,-0.013015,0.000100,0.004763
2011-02,0.031524,0.031524,0.017270,0.000100,0.004931
2011-03,-0.011110,-0.011110,-0.001350,0.000100,0.009751
2011-04,0.022229,0.022229,0.027532,0.000000,0.006439
2011-05,0.006611,0.006611,0.017208,0.000000,0.004704
2011-06,-0.036607,-0.036607,0.002500,0.000000,-0.001071
2011-07,0.031035,0.031035,0.064516,0.000000,0.000886
2011-08,-0.103989,-0.103989,0.030707,0.000100,0.002758
2011-09,-0.007873,-0.007873,-0.013520,0.000000,0.001518
2011-10,0.030219,0.030219,0.014369,0.000000,-0.002063
2011-11,0.017700,0.017700,0.004374,0.000000,-0.000844
2011-12,0.015576,0.015576,0.002550,0.000000,-0.002467
2012-01,0.047846,0.047846,0.001642,0.000000,0.004400
2012-02,0.041646,0.041646,-0.016188,0.000000,0.004403
2012-03,0.028857,0.028857,0.012568,0.000000,0.007595
2012-04,-0.000363,-0.000363,0.024398,0.000000,0.003021
2012-05,-0.030890,-0.030890,0.017980,0.000100,-0.001173
2012-06,-0.011504,-0.011504,0.009626,0.000000,-0.001466
2012-07,0.029238,0.029238,-0.012418,0.000000,-0.001630
2012-08,0.033903,0.033903,-0.002244,0.000100,0.005565
2012-09,0.030237,0.030237,-0.001296,0.000100,0.004462
2012-10,-0.002139,-0.002139,0.010600,0.000100,-0.000389
2012-11,-0.028343,-0.028343,-0.005003,0.000100,-0.004738
2012-12,0.021788,0.021788,-0.015719,0.000100,-0.002693
2013-01,0.042704,0.042704,-0.004706,0.000000,0.002957
2013-02,0.023346,0.023346,0.003451,0.000000,0.008190
2013-03,0.027240,0.027240,0.019820,0.000000,0.002615
2013-04,0.014559,0.014559,-0.013865,0.000000,-0.001040
2013-05,0.045763,0.045763,-0.031172,0.000000,0.001780
2013-06,-0.011158,-0.011158,-0.022559,0.000000,0.002400
2013-07,0.032564,0.032564,-0.011730,0.000000,0.000394
2013-08,0.002544,0.002544,-0.003769,0.000000,0.001203
2013-09,0.011943,0.011943,0.018919,0.000000,0.001163
2013-10,0.021185,0.021185,-0.006500,0.000000,-0.002575
2013-11,0.038609,0.038609,-0.013230,0.000000,-0.002042
2013-12,0.015226,0.015226,0.005867,0.000000,-0.000086
2014-01,0.009697,0.009697,0.015414,0.000000,0.003720
2014-02,-0.001281,-0.001281,0.001390,0.000000,0.003698
2014-03,0.027242,0.027242,0.003135,0.000000,0.006440
2014-04,0.002034,0.002034,0.015383,0.000000,0.003297
2014-05,0.015337,0.015337,-0.001360,0.000000,0.003493
2014-06,0.031980,0.031980,0.007422,0.000000,0.001862
2014-07,0.014974,0.014974,0.012687,0.000000,-0.000390
2014-08,-0.004254,-0.004254,-0.007622,0.000000,-0.001671
2014-09,0.017796,0.017796,0.022485,0.000000,0.000753
2014-10,-0.026453,-0.026453,-0.000737,0.000000,-0.002512
2014-11,0.057070,0.057070,0.012619,0.000000,-0.005399
2014-12,0.006352,0.006352,0.031676,0.000000,-0.005670
2015-01,-0.011082,-0.011082,-0.007430,0.000000,-0.004706
2015-02,0.028293,0.028293,-0.003733,0.000000,0.004343
2015-03,0.000572,0.000572,0.010714,0.000000,0.005952
2015-04,0.008797,0.008797,-0.021529,0.000000,0.002033
2015-05,0.009801,0.009801,-0.012301,0.000000,0.005097
2015-06,-0.004343,-0.004343,0.005507,0.000000,0.003503
2015-07,-0.000786,-0.000786,0.015306,0.000000,0.000067
2015-08,-0.024234,-0.024234,0.001808,0.000000,-0.001416
2015-09,-0.045060,-0.045060,0.010766,0.000000,-0.001557
2015-10,0.043184,0.043184,-0.015140,0.000000,-0.000450
2015-11,0.029337,0.029337,0.003660,0.000000,-0.002111
